link,title,category,author
https://www.youtube.com/watch?v=LELFIuhSPCI,Ariana Grande - Everyday (Lyric Video) ft. Future,Music,ArianaGrandeVevo
https://www.youtube.com/watch?v=LZyybvVx-js,Billie Eilish - xanny,Music,BillieEilishVEVO
https://www.youtube.com/watch?v=mPhboJR0Llc,LAARE : Maninder Buttar | Sargun Mehta | B Praak | Jaani | Arvindr Khaira | New Punjabi Song 2019,Music,White Hill Music
https://www.youtube.com/watch?v=V1Pl8CzNzCw,"Billie Eilish, Khalid - lovely",Music,BillieEilishVEVO
https://www.youtube.com/watch?v=3F20gIXSPfo,Billie Eilish Wins Song Of The Year | 2020 GRAMMYs,Music,Recording Academy / GRAMMYs
https://www.youtube.com/watch?v=60ItHLz5WEA,Alan Walker - Faded,Music,Alan Walker
https://www.youtube.com/watch?v=ClU3fctbGls,P!nk - What About Us (Official Music Video),Music,PinkVEVO
https://www.youtube.com/watch?v=qVdPh2cBTN0,flora cash - You're Somebody Else (Lyric Video),Music,FloraCashVEVO
https://www.youtube.com/watch?v=1y-u8Ts3iSE,Coldplay - Major Minus (Live on Letterman),Music,Coldplay
https://www.youtube.com/watch?v=vewU03r2KKY,Everything Wrong With BTS - "On",Music,Music Video Sins
https://www.youtube.com/watch?v=E3GkYTDJaNQ,P!nk - Can We Pretend (Animated Video) ft. Cash Cash,Music,PinkVEVO
https://www.youtube.com/watch?v=i23NEQEFpgQ,j-hope 'Chicken Noodle Soup (feat. Becky G)' MV,Music,Big Hit Labels
https://www.youtube.com/watch?v=ffxKSjUwKdU,Ariana Grande - no tears left to cry,Music,ArianaGrandeVevo
https://www.youtube.com/watch?v=XrCawmaP-Lk,L'ENTOURLOOP - Le Savoir Faire Full Album (Official video),Music,LEntourloop
https://www.youtube.com/watch?v=3mBpgxzAn6E,"Full Video: ""Dua Karo"" | Street Dancer 3D | Varun D,Shraddha K | Arijit Singh, Bohemia, Sachin-Jigar",Music,T-Series
https://www.youtube.com/watch?v=N5ShoQimivM,[MV] V (BTS) - Sweet Night [이태원 클라쓰 OST Part.12 (ITAEWON CLASS OST Part.12)],Music,VLENDING 블렌딩
https://www.youtube.com/watch?v=KVlgHjzZN0k,P!nk - Can We Pretend (Lyric Video) ft. Cash Cash,Music,PinkVEVO
https://www.youtube.com/watch?v=A_z5g0_hJN8,"Maari - Don’u Don’u Don’u Video | Dhanush, Kajal | Anirudh | Super Hit Song",Music,SonyMusicSouthVEVO
https://www.youtube.com/watch?v=Rbm6GXllBiw,Guns N' Roses - Paradise City,Music,GunsNRosesVEVO
https://www.youtube.com/watch?v=dbQ4XaaMVII,King Von - F**k Yo Man (Official Music Video),Music,King Von
https://www.youtube.com/watch?v=XfKH7gAPS0A,""" I Promessi Sposi - Addio Monti "" ( Play with Me n.12 ) - Andrea Giuffredi",Music,Andrea Giuffredi
https://www.youtube.com/watch?v=VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video),Music,Coldplay
https://www.youtube.com/watch?v=njcAVr6PwmI,"O Piya O Piya Sun - Romantic Song - Jis Desh Mein Ganga Rehta Hain - Govinda, Sonali Bendre",Music,Rajshri
https://www.youtube.com/watch?v=dtmr-rDIR6s,C Ashwath - Olithu Madu Manusa Official Lyrical Video Song | Marubhoomi | Sri Madhura| Rushi,Music,Lahari Bhavageethegalu & Folk - T-Series
https://www.youtube.com/watch?v=JaMFnDJIK2g,Cj Borika - No Good (Original Mix),Music,HouseMusicHD
https://www.youtube.com/watch?v=RSRzIrOqaN4,"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",Music,RomeoSantosVEVO
https://www.youtube.com/watch?v=wJnBTPUQS5A,Alan Walker - The Spectre,Music,Alan Walker
https://www.youtube.com/watch?v=OpQFFLBMEPI,P!nk - Just Give Me A Reason ft. Nate Ruess,Music,PinkVEVO
https://www.youtube.com/watch?v=BPNTC7uZYrI,Coldplay - Up&Up (Official Video),Music,Coldplay
https://www.youtube.com/watch?v=iXtGzF5DnJ0,O Saki Saki (Remix) - DJ Mudit Gulati | Nora Fatehi | John Abraham,Music,Downloads4Djs Videos
https://www.youtube.com/watch?v=an0JKXnnrAY,TONES & I - DANCE MONKEY (Karaoke Version),Music,Sing King
https://www.youtube.com/watch?v=YuXLN23ZGQo,O Saathi Lyrical Video | Baaghi 2 | Tiger Shroff | Disha Patani | Arko | Ahmed Khan Sajid Nadiadwala,Music,T-Series
https://www.youtube.com/watch?v=EdVok5_uva8,"Manasu Maree Lyrical | V Songs | Nani, Sudheer Babu | Amit Trivedi",Music,Aditya Music
https://www.youtube.com/watch?v=L4sbDxR22z4,K. - Cigarettes After Sex,Music,CigarettesAfterSex
https://www.youtube.com/watch?v=KSr0TJH5m-Q,Maroon 5 - Memories (Karaoke Version),Music,Sing King
https://www.youtube.com/watch?v=upYUgctlKuU,"Game of throne - the fate of meereen, movie 2018",Music,Boofer
https://www.youtube.com/watch?v=8EJ3zbKTWQ8,Justin Bieber - Yummy (Official Video),Music,JustinBieberVEVO
https://www.youtube.com/watch?v=sWSs7w7MXYc,O Sahiba O Sahiba Full Video - Dil Hai Tumhaara | Preity Zinta & Arjun Rampal | Sonu Nigam,Music,Tips Official
https://www.youtube.com/watch?v=Z25aDKQ7Ojw,P!nk - Hurts 2B Human ft. Khalid,Music,PinkVEVO
https://www.youtube.com/watch?v=CxnaPa8ohmM&list=RDQMCTJndFR9XYE&start_radio=1,G-Eazy - I Mean It (Official Music Video) ft. Remo,Music,GEazyMusicVEVO
https://www.youtube.com/watch?v=ebb5AinKxWI,Billie Eilish - COPYCAT (Audio),Music,BillieEilishVEVO
https://www.youtube.com/watch?v=1ekZEVeXwek,Ariana Grande - Into You,Music,ArianaGrandeVevo
https://www.youtube.com/watch?v=rQVOErjem3g,I Stream Sniped Tfue until he RAGE QUIT FORTNITE,Music,FaZe Kay
https://www.youtube.com/watch?v=JX-1q_Lpzp8,Nicole Scherzinger - Whatever U Like ft. T.I.,Music,NScherzingerVEVO
https://www.youtube.com/watch?v=YcDw4h3SUfI,"Khadke Glassy - Jabariya Jodi |Sidharth M,Parineeti C| Yo Yo Honey Singh, Ashok M, Jyotica T|Tanishk",Music,Zee Music Company
https://www.youtube.com/watch?v=IQ2gCi9caL8,Bilbo & Smaug Complete Scene,Music,Tiger Rogers
https://www.youtube.com/watch?v=YUtHjOvPKT0,P!nk - U + Ur Hand (Official Video),Music,PinkVEVO
https://www.youtube.com/watch?v=tDq3fNew1rU,Sean Paul - Got 2 Luv U (feat. Alexis Jordan) [Official Video],Music,Atlantic Records
https://www.youtube.com/watch?v=IE8OD5FbU-c,"Full Song: Garmi | Street Dancer 3D | Varun D, Nora F, Badshah, Neha K | Remo D",Music,T-Series
https://www.youtube.com/watch?v=gL20Eaeswfk,P!nk - Secrets (Official Video),Music,PinkVEVO
https://www.youtube.com/watch?v=kC8jBnooHgs,"Shawn Mendes, Camila Cabello - Señorita (Karaoke Version)",Music,Sing King
https://www.youtube.com/watch?v=YykjpeuMNEk,Coldplay - Hymn For The Weekend (Official Video),Music,Coldplay
https://www.youtube.com/watch?v=PV4LMYstfnI,Prada (Duro Duro)- The Doorbeen | Alia Bhatt | Shreya Sharma | Best of 2019,Music,Jjust Music
https://www.youtube.com/watch?v=m9tnUEFLzQs,"Full Video: BHANKAS | Baaghi 3 | Tiger S,Shraddha K |Bappi Lahiri,Dev Negi,Jonita Gandhi | Tanishk B",Music,T-Series
https://www.youtube.com/watch?v=ZubgBFpUy58,"Lyrical: Mere Angne Mein |Jacqueline F,Asim R| Neha K, Raja H, Tanishk B | Radhika-Vinay | Bhushan K",Music,T-Series
https://www.youtube.com/watch?v=Ar_5tbd6LHE,Vybz Kartel - Beat Dem Bad (Official Video) ft. Squash,Music,SquashVEVO
https://www.youtube.com/watch?v=2mDCVzruYzQ,#AlaVaikunthapurramuloo - ButtaBomma Full Video Song (4K) | Allu Arjun | Trivikram | Thaman S |#AA19,Music,Aditya Music
https://www.youtube.com/watch?v=jsyUWCLG8zY,आम्रपाली दुबे का ऐसा वीडियो जिंदगी में नहीं देखा होगा - देख के आप हिल जायेंगे -Aamrapali Dubey Scene,Music,Wave Music - Bhojpuri
https://www.youtube.com/watch?v=XkxWIAe3NDU,Stray Kids "바보라도 알아" M/V,Music,jypentertainment
https://www.youtube.com/watch?v=AAXeYfGbf0Y,BTS (방탄소년단) 코로나19 국민 응원 메시지 COVID-19 Message [Stay Strong! Stay Connected!],Music,BANGTANTV
https://www.youtube.com/watch?v=9SRxBTtspYM,"Ariana Grande, Social House - boyfriend",Music,ArianaGrandeVevo
https://www.youtube.com/watch?v=gfDywvYmcs4,Fear Before The March of Flames "My (F***ing) Deer Hunter" (Official Music Video),Music,Equal Vision Records
https://www.youtube.com/watch?v=5dWeeUIZFgA,Khaled - C'est La Vie,Music,KhaledMusicVEVO
https://www.youtube.com/watch?v=Pm77L5Loazc,"Undipova Full Video Song || Savaari Songs || Shekar Chandra || Nandu, Priyanka Sharma || Spoorthi",Music,Aditya Music
https://www.youtube.com/watch?v=aZla1ttZHaw,Lil Dicky  - Freaky Friday feat. Chris Brown (Official Music Video),Music,Lil Dicky
https://www.youtube.com/watch?v=YynKelHGhNc,Hayley Kiyoko - "What I Need" (feat. Kehlani) [Official Video],Music,Hayley Kiyoko
https://www.youtube.com/watch?v=PmYypVozQb4,Sam Smith - How Do You Sleep? (Official Video),Music,SamSmithVEVO
https://www.youtube.com/watch?v=aKlwJROuo-Q,Coldplay - Trouble In Town (Official Video),Music,Coldplay
https://www.youtube.com/watch?v=DLF-DmgwObs,BABU TERA LADLA | America Wala Dollar Song | R MAAN Ft. DESI MELBOURNIYA | New Haryanvi Song 2020,Music,HARIDHUN MUSIC
